iter	MAE
0	243871803.3
1	222107797.1
2	206178849.5
3	193161811.4
4	180687980.2
5	171539129.3
6	164232473
7	158640780.5
8	153728282.3
9	150724792.3
10	147266298.8
11	144040206.9
12	141544116.9
13	133404236.2
14	130881294.1
15	130184548.8
16	129098250.4
17	128438573
18	127415171.9
19	126533099.8
20	125889586.5
21	125372505.1
22	118542359.6
23	117575223.8
24	117195212
25	113699448
26	113238539.7
27	112859111.4
28	112561133.5
29	112293911.2
30	112015812.7
31	108564425.3
32	108125508.7
33	106144312.3
34	105738456.7
35	105355391.3
36	104728408.4
37	104100655.2
38	103933370.5
39	103470661.8
40	102425717.2
41	102137263.7
42	101829154.3
43	100503373
44	100329682.7
45	99764058.17
46	99598465.33
47	98037726.03
48	97430423.83
49	97253159.58
50	97038877.77
51	96591462.95
52	96268359.9
53	96166894.5
54	96039848.14
55	95828014.87
56	95446116.2
57	94967293.75
58	94714037.61
59	94377597.5
60	94164197.15
61	93979360.37
62	93907009.83
63	92207806.83
64	91929747.9
65	91595096.28
66	91432168.43
67	91133852.6
68	88933467.54
69	88793920.53
70	88648755.96
71	88549643.38
72	87513815.27
73	85907128.42
74	85742117.99
75	85592543.47
76	85520913.68
77	85319587.07
78	84568929.23
79	84425195.75
80	84080662.13
81	84011917.33
82	83939795.93
83	83881054.78
84	83730459.38
85	82982537.59
86	82754721.74
87	82531346.37
88	82410566.3
89	81744477.69
90	81597796.98
91	81469708.11
92	81415042.14
93	81263100.97
94	81151790.84
95	81085673.48
96	80964463.56
97	80895613.53
98	80826935.87
99	80764370.32
100	80660628.42
101	80537410.52
102	80492075.67
103	80415756.66
104	80356902.43
105	80222371.88
106	80156878.23
107	79695256.66
108	79656184.83
109	79449520.3
110	79380034.51
111	79212470.26
112	79172493.73
113	78748779.86
114	78711015.97
115	78398480.46
116	78301957.64
117	78220156.48
118	78000100.06
119	77875869.39
120	77791892.02
121	77757929.55
122	77702020.64
123	77604356.79
124	77543882.56
125	77394493.34
126	77370537.73
127	77115791.8
128	77042896.4
129	76994050.3
130	76924291.63
131	76903913.31
132	76857176.71
133	76792532.35
134	76777277.94
135	76746937.74
136	76710216.9
137	76682286.89
138	76614391.3
139	76476192.39
140	76378625.51
141	76309927.1
142	75984519.88
143	75726898.77
144	75661564.47
145	75609940.28
146	75557669.73
147	75534311.18
148	75463224.19
149	75415398.44
150	75209215.78
151	75105151.76
152	74974143.4
153	74947327.37
154	74824194.61
155	74796105.67
156	74769052.11
157	74703643.65
158	74627127.23
159	74515212.24
160	74430043.15
161	74410586.87
162	74371851.26
163	74042643.95
164	73830555.82
165	73676051.47
166	73486293.81
167	73475415.18
168	73380661.88
169	73339839.79
170	73290900.49
171	73059022.57
172	73019337.92
173	72990451.58
174	72912282.72
175	72817391.87
176	72774261.43
177	72728137.16
178	72656015.8
179	72623292.12
180	72563569.3
181	72193807.2
182	72176590.92
183	72065776.04
184	71963967.51
185	71843367.27
186	71810159.55
187	71783361.29
188	71714355.89
189	71648115.39
190	71561545.6
191	71536304.13
192	71502730.81
193	71449707.61
194	71220100.7
195	71165539.67
196	71130486.75
197	71075044.45
198	71065879.1
199	71055424.53
200	70965750.89
201	70897275.18
202	70880312.26
203	70558388.84
204	70547867.69
205	70514550.02
206	70478381.16
207	70309663.09
208	70268893.9
209	70220846.28
210	70186420.9
211	70088429.65
212	70066328.82
213	70051950
214	70008073.26
215	69986960.11
216	69965384.99
217	69942590.95
218	69887344.64
219	69834869
220	69813532.07
