iter	RMSE
0	266477786.5
1	233131494.6
2	208247354.8
3	188443304.8
4	172547314.6
5	156124749.6
6	142477376.4
7	132523582.3
8	124762647.1
9	116960763.8
10	110798054.6
11	105229579.5
12	100393705.9
13	96724811.31
14	94320194.15
15	92121212.87
16	90737638.12
17	89047692.15
18	87596790.64
19	86468291.88
20	85248172.24
21	83988384.24
22	82938679.83
23	82035915.45
24	80773102.59
25	79413279.55
26	78456267.5
27	77951799.66
28	77332599.97
29	76493894.64
30	76096233.23
31	75200598.87
32	74399375.92
33	74401626.24
34	73608198.61
35	73258698.67
36	72577220.67
37	72670427.49
38	72020681.49
39	71669222.54
40	70895224.01
41	70386316.61
42	69919740.61
43	69373477.85
44	68746120.57
45	68233015.79
46	67622850.24
47	66898298.02
48	66133309.95
49	65564807.53
50	64949575.21
51	64242377.19
52	63531941.17
53	62582463.72
54	62196907.97
55	61761640.28
56	61220367.27
57	60995414.42
58	60653012.63
59	60086482.62
60	59592239.47
61	59252639.04
62	58900445.57
63	58405244.48
64	58063099.45
65	57600520.94
66	57231821.18
67	56751307.62
68	56561602.48
69	56333826.65
70	55960244.41
71	55644630.74
72	55415533.37
73	54984560.97
74	54535621.67
75	54203368.61
76	53841468.05
77	53342355.3
78	53015559.81
79	52712322.35
80	52315964.82
81	52061082.64
82	51503850.51
83	51105898.88
84	50945237.75
85	50659557.52
86	50443926.72
87	50269846.91
88	50040000.5
89	49820782.96
90	49475812.34
91	49259680.34
92	48863368.6
93	48426350.79
94	48134720.26
95	47888906.79
96	47755064.57
97	47580132.94
98	47360995.74
99	47205044.62
100	47018780.51
101	46823146.13
102	46582430
103	46308147.39
104	46188881.94
105	46075253.04
106	45857408.62
107	45676060.27
108	45542770.43
109	45382985.65
110	45185685.17
111	45120258.72
112	45025183.86
113	44934341.5
114	44753514.91
115	44619846.22
116	44286279.85
117	44123603.62
118	43998018.55
119	43902517.27
120	43824288.91
121	43554390.98
122	43414888.85
123	43319290.09
124	43076985.28
125	42943798.39
126	42841343.2
127	42712379.27
128	42515564.18
129	42409270.82
130	42265166.46
131	42017315.25
132	41898022.25
133	41761329.28
134	41725948.72
135	41641134.62
136	41638030.41
137	41478017.05
138	41405656.69
139	41240060.65
140	41032251.24
141	40913807.34
142	40737876.68
143	40632422.1
144	40457114.85
145	40387634
146	40248928.76
147	40225844.17
148	40155685.24
149	39980645.75
150	39904042.25
151	39783418.29
152	39692674.66
153	39646682.92
154	39567326.29
155	39428090.8
156	39342819.34
157	39229139.54
158	39173976.42
159	39105454.83
160	39059750.51
161	38991012
162	38890680.14
163	38837483.01
164	38785152.6
165	38658475.08
166	38519854.36
167	38484915.83
168	38252382.64
169	38171204.96
170	38134162.18
171	38080728.93
172	37929676.2
173	37753911.04
174	37648202.37
175	37638606.99
176	37608496.89
177	37509776.95
178	37450181.8
179	37353226.01
180	37308065.39
181	37259358.24
182	37194804.32
183	37140703.37
184	37068377.03
185	36969556.26
186	36882989.02
187	36910503.42
188	36814482.12
189	36712369.24
190	36638155.82
191	36585895.31
192	36547570.7
193	36460713.77
194	36335961.24
195	36330760.83
196	36326150.83
197	36222534.61
198	36106888.42
199	36033116.43
200	35962497.21
201	35906076.77
202	35863358.3
203	35769888.81
204	35683028.71
205	35563990.32
206	35475575.07
207	35465443.55
208	35418096.82
209	35332409.6
210	35269243.18
211	35225099.6
212	35169084.02
213	35085497.98
214	35082017.57
215	35098716.53
216	35060933.51
217	34969736.8
218	34910800.53
219	34789046.6
220	34789286.97
221	34768783.56
222	34715408.39
223	34659986.69
224	34648427.76
225	34616169.26
226	34550533.17
227	34558886.69
228	34517745.16
229	34512163.44
230	34412820.52
231	34352270.33
232	34338104.8
233	34335232.73
234	34287359.69
235	34272603.39
236	34230793.08
237	34188716.93
238	34157755.57
239	34124583.06
240	34052550
241	34055724.51
242	34031084.27
243	33893247.88
244	33865832.37
245	33800760.51
246	33731956.58
247	33716488.89
248	33674083.12
249	33618985.47
250	33543324.98
251	33456901.53
252	33457464.72
253	33427581
254	33385791.56
255	33397050.02
256	33261054.53
257	33240832.91
258	33197289.04
259	33182200.3
260	33143577.12
261	33115005.52
262	33038440.46
263	32998961.64
264	32991495.86
265	33026251.68
266	32969614.31
267	32942972.91
268	32876430.68
269	32847960.45
270	32817676.09
271	32775180.07
272	32799340.86
273	32699908.46
274	32664032.04
275	32645343.71
276	32586662.45
277	32527635.18
278	32532776.88
279	32442793.63
280	32438792.97
281	32437212.66
282	32386425.43
283	32301947.41
284	32251529.18
285	32283220.53
286	32260631.99
287	32271113.24
288	32254104.5
289	32245075.3
290	32227375.28
291	32246828.23
292	32231994.15
293	32191569.28
294	32188658.84
295	32173747.84
296	32161679.2
297	32138068.35
298	32080801.46
299	32091259.82
300	32062346.14
301	32003132.23
302	31965977.2
303	31993582.16
304	31990462.28
305	31991475.47
306	31959684.83
307	31897292.5
308	31914564
309	31890609.18
310	31862024.73
311	31848354.2
312	31848939.26
313	31863888.25
314	31859051.37
315	31884840.02
316	31779093.1
317	31759478.54
318	31712533.46
319	31690712.59
320	31679219.52
321	31694450.47
322	31704668.66
323	31689730.78
324	31607821.03
325	31577496.16
326	31576105.04
327	31531484.31
328	31491030.65
329	31502488.54
330	31519211.81
331	31506946.56
332	31463077.13
333	31475745.55
334	31479382.39
335	31476193.13
336	31489072.4
337	31462539.41
338	31475092.98
339	31438902.85
340	31489425.3
341	31494042.98
342	31453372.93
343	31415283.02
344	31382822.57
345	31339494.6
346	31326809.11
347	31291409.16
348	31273579.9
349	31282299.68
350	31298391.17
351	31263434.26
352	31188559.06
353	31195072.6
354	31120429.89
355	31071452.9
356	31066085.47
357	31031978.58
358	31034269.05
359	31035568.07
360	31044307.98
361	31025893.97
362	31028653.93
363	31024821.3
364	30999389.98
365	30942544.61
366	30917511.62
367	30934910.07
368	30933571.32
369	30944261.59
370	30907963.41
371	30912253.64
372	30879532.18
373	30912775.24
374	30878883.18
375	30921529.84
376	30896173.98
377	30888883.82
378	30861856.14
379	30797493.35
380	30798726.69
381	30803846.07
382	30781206.44
383	30747105.5
384	30737373.25
385	30669130.08
386	30641501.47
387	30641786.14
388	30641444.26
389	30575284.63
390	30564524.44
391	30550664.75
392	30516397.38
393	30459610.85
394	30453089.12
395	30343500.89
396	30321067.44
397	30295129.12
398	30303579.61
399	30278127.1
400	30275660.65
401	30249621.16
402	30233639.64
403	30245108.14
404	30264004.94
405	30248503.55
406	30221771.59
407	30239402.78
408	30270461.99
409	30229053.88
410	30147543.24
411	30120939.06
412	30075825.03
413	30093403.59
414	30070053.41
415	30024497.6
416	29956744.12
417	29937823
418	29949518.65
419	29971342.52
420	29979678.2
421	29931887.46
422	29918517.7
423	29931065.33
424	29921592.14
425	29878840.57
426	29852563.64
427	29858124.12
428	29849791.34
429	29835800.48
430	29836505.63
431	29841685.63
432	29853097.04
433	29790029.66
434	29753628.23
435	29772388.99
436	29747014.9
437	29784417.91
438	29737321.86
439	29732882.92
440	29688781.17
441	29662513.6
442	29648891.96
443	29651028.42
444	29681324.09
445	29675001.47
446	29682330.04
447	29666775.56
448	29685221.26
449	29667317.04
450	29657541.57
451	29689319.52
452	29632233.03
453	29635674.1
454	29657766.89
455	29640116.85
456	29664260.02
457	29658023.15
458	29582627.6
459	29525603.99
460	29539950.95
461	29549837.53
462	29514213.48
463	29527193.18
464	29534055.41
465	29538262.01
466	29538628.73
467	29545122.78
468	29561491.09
469	29543484.29
470	29546128.46
471	29489187.68
472	29497004.52
473	29484217.5
474	29497085.93
475	29475861.62
476	29482778.46
477	29465073.71
478	29476001.01
479	29469126.48
480	29469037.57
481	29387135.77
482	29342683.57
483	29357029.87
484	29365042.59
485	29385065.98
486	29375367.89
487	29367793.11
488	29328210.79
489	29332085.77
490	29332534.03
491	29311181.87
492	29291994.88
493	29285269.49
494	29299413.32
495	29315123.29
496	29317149.66
497	29311630.51
498	29259916.97
499	29271756.48
500	29245686.74
501	29218064.58
502	29204166.72
503	29225560.33
504	29208012.27
505	29239338.54
506	29248870.04
507	29260107.76
508	29210574.5
509	29218272.36
510	29178885.87
511	29156732.21
512	29171562.16
513	29155649.62
514	29147577.2
515	29169776.53
516	29167199.4
517	29149541.57
518	29117319.47
519	29150739.24
520	29181079.01
521	29176525.82
522	29163901.33
523	29173916.09
524	29160037.9
525	29186910.1
526	29145783.05
527	29076867.55
528	29059823.44
529	29031767.22
