iter	Passed	Remaining
0	80	80776
1	91	45679
2	97	32288
3	101	25323
4	111	22184
5	117	19547
6	124	17649
7	130	16192
8	136	15077
9	146	14516
10	153	13796
11	164	13572
12	170	12937
13	179	12629
14	188	12399
15	204	12560
16	222	12837
17	229	12501
18	241	12456
19	251	12335
20	287	13401
21	294	13083
22	302	12839
23	307	12520
24	318	12426
25	326	12213
26	334	12038
27	344	11974
28	354	11871
29	360	11640
30	366	11456
31	372	11272
32	378	11086
33	386	10987
34	393	10854
35	402	10777
36	407	10616
37	414	10494
38	419	10348
39	425	10215
40	432	10114
41	439	10017
42	446	9931
43	452	9832
44	458	9725
45	468	9709
46	474	9611
47	482	9560
48	488	9482
49	494	9397
50	502	9349
51	510	9311
52	519	9288
53	528	9263
54	537	9228
55	546	9209
56	554	9171
57	566	9196
58	579	9235
59	587	9197
60	598	9217
61	605	9159
62	618	9196
63	632	9251
64	638	9186
65	654	9256
66	664	9247
67	672	9223
68	683	9228
69	693	9218
70	708	9269
71	715	9226
72	730	9272
73	739	9250
74	752	9274
75	766	9315
76	781	9363
77	794	9396
78	804	9383
79	823	9468
80	837	9496
81	856	9590
82	867	9580
83	876	9555
84	891	9592
85	897	9539
86	912	9579
87	919	9534
88	927	9498
89	943	9536
90	953	9523
91	967	9548
92	976	9524
93	991	9560
94	1006	9590
95	1014	9554
96	1024	9534
97	1046	9629
98	1058	9629
99	1071	9644
100	1099	9783
101	1108	9760
102	1167	10166
103	1181	10176
104	1209	10313
105	1218	10277
106	1229	10259
107	1241	10257
108	1252	10240
109	1270	10278
110	1280	10254
111	1285	10196
112	1291	10140
113	1302	10123
114	1311	10094
115	1321	10074
116	1384	10450
117	1395	10428
118	1435	10624
119	1446	10610
120	1459	10602
121	1474	10614
122	1485	10593
123	1497	10577
124	1507	10553
125	1516	10518
126	1527	10503
127	1537	10470
128	1543	10422
129	1551	10383
130	1559	10344
131	1567	10306
132	1572	10253
133	1584	10243
134	1590	10190
135	1599	10161
136	1605	10110
137	1611	10065
138	1617	10020
139	1624	9977
140	1634	9958
141	1642	9922
142	1650	9893
143	1660	9869
144	1698	10014
145	1706	9981
146	1747	10140
147	1763	10150
148	1771	10118
149	1786	10125
150	1796	10100
151	1804	10068
152	1814	10045
153	1828	10045
154	1841	10036
155	1852	10024
156	1863	10004
157	1876	9999
158	1894	10018
159	1912	10041
160	1929	10056
161	1947	10074
162	1996	10250
163	2006	10226
164	2024	10243
165	2042	10260
166	2060	10277
167	2080	10303
168	2105	10354
169	2119	10346
170	2132	10336
171	2139	10297
172	2151	10286
173	2159	10251
174	2175	10257
175	2184	10229
176	2199	10225
177	2211	10211
178	2223	10196
179	2231	10166
180	2243	10151
181	2257	10145
182	2266	10117
183	2278	10103
184	2284	10064
185	2292	10031
186	2297	9988
187	2304	9951
188	2310	9913
189	2321	9895
190	2331	9873
191	2343	9862
192	2351	9833
193	2359	9804
194	2370	9784
195	2387	9793
196	2401	9790
197	2411	9768
198	2428	9773
199	2443	9774
200	2462	9788
201	2486	9823
202	2495	9798
203	2506	9780
204	2525	9793
205	2542	9798
206	2550	9771
207	2558	9743
208	2573	9741
209	2580	9707
210	2589	9682
211	2594	9644
212	2601	9613
213	2607	9578
214	2615	9548
215	2621	9513
216	2626	9476
217	2632	9444
218	2639	9413
219	2645	9379
220	2652	9350
221	2658	9317
222	2667	9295
223	2673	9260
224	2682	9240
225	2689	9212
226	2699	9191
227	2706	9164
228	2717	9149
229	2726	9126
230	2736	9110
231	2750	9105
232	2760	9088
233	2769	9065
234	2778	9046
235	2786	9021
236	2795	9000
237	2802	8971
238	2812	8956
239	2821	8934
240	2833	8924
241	2844	8910
242	2863	8920
243	2876	8910
244	2882	8881
245	2896	8877
246	2903	8852
247	2914	8837
248	2924	8821
249	2934	8802
250	2941	8778
251	2948	8753
252	2956	8728
253	2973	8732
254	2983	8716
255	2994	8702
256	3004	8685
257	3012	8664
258	3018	8635
259	3025	8612
260	3032	8585
261	3038	8558
262	3054	8558
263	3071	8563
264	3104	8611
265	3131	8640
266	3164	8687
267	3181	8688
268	3196	8685
269	3210	8681
270	3220	8662
271	3228	8640
272	3240	8628
273	3246	8602
274	3257	8587
275	3264	8563
276	3274	8545
277	3287	8537
278	3303	8537
279	3310	8511
280	3324	8505
281	3334	8489
282	3349	8486
283	3365	8484
284	3375	8467
285	3392	8469
286	3401	8450
287	3417	8448
288	3430	8438
289	3442	8427
290	3453	8415
291	3468	8410
292	3475	8385
293	3488	8377
294	3496	8357
295	3514	8359
296	3524	8341
297	3550	8364
298	3569	8368
299	3601	8403
300	3608	8380
301	3620	8368
302	3628	8347
303	3642	8340
304	3661	8343
305	3682	8352
306	3702	8356
307	3715	8348
308	3727	8335
309	3734	8311
310	3750	8309
311	3767	8308
312	3829	8405
313	3846	8404
314	3863	8401
315	3871	8380
316	3888	8378
317	3901	8366
318	3918	8364
319	3927	8345
320	3936	8326
321	3943	8303
322	3956	8291
323	3966	8276
324	3978	8263
325	4012	8294
326	4045	8326
327	4090	8380
328	4108	8379
329	4128	8382
330	4150	8389
331	4173	8397
332	4189	8391
333	4195	8365
334	4205	8347
335	4212	8325
336	4225	8312
337	4235	8295
338	4244	8276
339	4253	8257
340	4259	8231
341	4328	8328
342	4347	8327
343	4372	8338
344	4392	8339
345	4421	8357
346	4438	8352
347	4455	8347
348	4472	8341
349	4498	8354
350	4532	8380
351	4547	8371
352	4570	8376
353	4593	8382
354	4610	8376
355	4624	8365
356	4632	8343
357	4644	8328
358	4656	8314
359	4674	8311
360	4682	8288
361	4688	8263
362	4696	8242
363	4704	8219
364	4717	8207
365	4750	8228
366	4782	8248
367	4811	8263
368	4830	8260
369	4848	8255
370	4872	8260
371	4894	8263
372	4909	8253
373	4930	8253
374	4947	8246
375	4953	8221
376	4963	8202
377	4971	8180
378	4978	8157
379	4988	8138
380	4997	8119
381	5005	8098
382	5014	8078
383	5021	8054
384	5030	8035
385	5038	8015
386	5064	8021
387	5086	8023
388	5112	8029
389	5138	8036
390	5151	8024
391	5181	8035
392	5217	8058
393	5234	8050
394	5250	8042
395	5268	8035
396	5281	8021
397	5291	8004
398	5305	7991
399	5314	7972
400	5330	7961
401	5345	7951
402	5363	7946
403	5383	7942
404	5405	7941
405	5425	7938
406	5460	7955
407	5473	7941
408	5488	7930
409	5505	7922
410	5520	7910
411	5530	7892
412	5590	7946
413	5603	7932
414	5611	7910
415	5626	7898
416	5642	7888
417	5657	7877
418	5687	7886
419	5696	7867
420	5713	7857
421	5725	7842
422	5736	7825
423	5750	7811
424	5759	7791
425	5769	7774
426	5781	7758
427	5798	7748
428	5858	7797
429	5882	7797
430	5944	7847
431	5990	7876
432	6006	7865
433	6016	7846
434	6028	7830
435	6048	7824
436	6061	7809
437	6095	7821
438	6125	7827
439	6147	7824
440	6163	7813
441	6181	7803
442	6197	7792
443	6214	7782
444	6224	7763
445	6236	7746
446	6249	7730
447	6259	7712
448	6267	7691
449	6282	7678
450	6293	7660
451	6309	7649
452	6314	7625
453	6335	7619
454	6350	7606
455	6367	7596
456	6379	7579
457	6387	7559
458	6399	7543
459	6413	7528
460	6423	7509
461	6447	7508
462	6465	7499
463	6475	7480
464	6502	7481
465	6508	7458
466	6521	7442
467	6528	7421
468	6544	7409
469	6561	7399
470	6573	7383
471	6580	7361
472	6604	7358
473	6620	7346
474	6630	7328
475	6638	7308
476	6647	7288
477	6655	7268
478	6666	7251
479	6674	7230
480	6692	7221
481	6704	7204
482	6717	7189
483	6727	7172
484	6739	7156
485	6751	7140
486	6761	7122
487	6768	7101
488	6788	7093
489	6806	7084
490	6852	7104
491	6869	7092
492	6876	7072
493	6895	7062
494	6917	7057
495	6931	7043
496	6991	7076
497	7017	7073
498	7033	7061
499	7042	7042
500	7065	7037
501	7076	7020
502	7094	7009
503	7114	7001
504	7132	6991
505	7149	6980
506	7169	6971
507	7196	6969
508	7213	6958
509	7248	6964
510	7255	6943
511	7274	6933
512	7306	6935
513	7322	6923
514	7330	6903
515	7352	6896
516	7370	6885
517	7388	6874
518	7405	6863
519	7411	6841
520	7431	6832
521	7449	6821
522	7466	6809
523	7475	6791
524	7492	6778
525	7508	6766
526	7521	6750
527	7527	6729
528	7539	6712
529	7545	6691
530	7555	6673
531	7600	6685
532	7621	6677
533	7652	6678
534	7669	6666
535	7686	6654
536	7704	6642
537	7724	6633
538	7742	6621
539	7761	6611
540	7781	6602
541	7800	6591
542	7829	6589
543	7849	6579
544	7866	6567
545	7872	6545
546	7894	6537
547	7914	6527
548	7949	6530
549	7957	6510
550	7997	6516
551	8015	6505
552	8031	6491
553	8051	6481
554	8067	6468
555	8090	6460
556	8105	6446
557	8112	6425
558	8129	6413
559	8157	6409
560	8176	6398
561	8195	6386
562	8213	6375
563	8230	6362
564	8260	6359
565	8277	6346
566	8294	6334
567	8309	6319
568	8326	6307
569	8373	6316
570	8381	6296
571	8399	6285
572	8418	6273
573	8435	6260
574	8476	6265
575	8535	6282
576	8553	6270
577	8559	6249
578	8577	6236
579	8590	6220
580	8598	6200
581	8616	6188
582	8634	6175
583	8642	6156
584	8655	6140
585	8662	6120
586	8675	6103
587	8689	6088
588	8703	6073
589	8712	6054
590	8726	6039
591	8743	6025
592	8751	6006
593	8765	5991
594	8785	5980
595	8803	5967
596	8824	5957
597	8836	5940
598	8847	5923
599	8865	5910
600	8871	5889
601	8895	5880
