manufacture_date,brand,model,origin,type,seats,gearbox,fuel,color,mileage_v2,condition
2021,9,85,2,6,7.0,2,3,5,63000,1
2014,9,79,3,2,2.0,2,3,11,67890,1
2018,0,64,4,5,5.0,1,3,9,61000,1
2020,5,56,6,7,5.0,1,3,9,45000,1
2014,5,164,6,1,5.0,2,3,3,192000,1
2020,5,189,6,6,7.0,1,3,11,32000,1
2004,2,86,1,6,4.0,1,3,0,120000,1
2009,3,62,3,7,5.0,1,3,10,100000,1
2008,10,47,6,7,5.0,1,3,10,100000,1
2008,2,89,6,6,7.0,2,2,7,140,1
2019,2,89,4,6,7.0,1,3,11,33000,1
2022,10,99,6,6,7.0,1,2,11,23456,1
2016,2,221,6,3,16.0,2,2,10,230000,1
2023,6,40,6,7,5.0,1,3,5,0,0
2020,10,128,2,3,8.0,1,3,11,33000,1
2019,2,218,6,3,7.0,1,3,0,71000,1
2022,2,187,6,5,2.0,1,2,2,19000,1
2008,0,48,6,6,7.0,2,3,0,164000,1
2010,9,79,6,8,2.0,2,3,11,75678,1
2003,1,166,0,7,5.0,2,3,0,20000,1
2014,5,168,0,7,5.0,1,3,11,70000,1
2022,7,105,6,6,5.0,1,3,0,30,1
2023,2,187,6,5,5.0,1,2,3,11,0
2023,7,108,8,6,7.0,1,3,4,1,1
2016,8,173,6,6,7.0,1,3,0,5000,1
2013,2,89,6,6,7.0,1,2,10,11000,1
2017,0,169,6,3,7.0,2,3,11,115000,1
2019,10,128,6,3,8.0,2,3,10,63500,1
2021,4,118,6,7,5.0,2,3,10,43000,1
2007,10,68,6,7,5.0,2,3,0,130000,1
2020,10,99,6,6,7.0,1,2,0,67000,1
2020,10,238,6,7,5.0,2,3,11,53000,1
2017,6,7,2,7,5.0,1,3,11,120000,1
2018,10,238,2,7,5.0,1,3,11,60000,1
2020,2,89,4,6,7.0,1,2,9,43841,1
2023,7,32,8,7,5.0,1,3,0,0,0
2017,8,173,6,6,7.0,2,2,3,77000,1
2006,1,158,0,1,5.0,2,3,1,2525,1
2019,3,124,4,6,5.0,1,3,0,23000,1
2023,4,118,6,7,5.0,2,3,11,0,0
2020,4,83,6,7,5.0,1,3,9,32000,1
2003,10,251,6,2,8.0,2,3,7,145870,1
2008,3,38,2,6,8.0,1,3,4,103000,1
2023,8,247,9,6,5.0,1,3,9,0,1
2021,10,243,4,1,5.0,1,3,9,13000,1
2013,10,128,6,3,8.0,2,3,10,8000,1
2009,10,99,6,6,7.0,1,3,5,93000,1
2017,0,76,6,7,5.0,2,3,11,140000,1
2018,3,38,4,6,7.0,1,3,0,65000,1
2012,10,128,6,3,8.0,1,3,3,180000,1
2016,5,164,6,1,5.0,2,3,11,100000,1
2020,2,187,6,5,5.0,1,2,11,52000,1
2021,8,248,4,3,7.0,1,3,11,18000,1
2022,4,13,6,7,5.0,1,3,11,36000,1
2010,10,238,6,7,5.0,1,3,0,998999,1
2023,2,89,1,6,7.0,1,2,11,0,0
2021,7,105,8,6,5.0,1,3,0,11500,1
2008,8,121,2,3,7.0,1,3,10,115000,1
2020,4,195,6,6,7.0,1,2,1,74200,1
2018,5,196,6,3,7.0,1,2,9,165000,1
2019,2,79,4,5,5.0,1,2,0,59000,1
2022,4,195,6,6,7.0,1,2,11,18000,1
2020,10,238,6,7,5.0,1,3,2,38000,1
2015,0,76,1,7,5.0,2,3,11,192000,1
2023,2,187,6,7,5.0,2,2,11,0,0
2019,2,187,4,5,5.0,1,2,5,40000,1
2023,3,124,4,6,5.0,1,3,9,0,0
2021,7,227,6,3,7.0,1,3,0,17000,1
2022,6,2,6,7,5.0,1,3,5,18000,1
2016,2,187,4,5,5.0,1,2,7,138000,1
2022,8,21,4,7,5.0,1,3,11,2100,1
2020,5,202,6,7,5.0,2,3,11,64000,1
2008,0,48,6,6,7.0,1,3,3,960000,1
2023,8,21,4,2,5.0,1,3,11,0,0
2018,10,99,3,6,7.0,1,2,11,86000,1
2017,5,205,0,6,7.0,1,2,11,68000,1
2018,3,62,6,7,5.0,1,3,0,38000,1
2019,6,7,6,7,5.0,1,3,1,25000,1
2018,6,2,6,1,5.0,1,3,2,20000,1
2021,8,247,4,3,7.0,1,3,11,3000,1
2020,8,223,4,5,5.0,1,2,10,70000,1
2022,7,80,6,7,5.0,1,3,11,15000,1
2021,2,187,4,5,5.0,2,2,3,50000,1
2023,2,217,3,6,5.0,1,3,2,3000,1
2014,2,221,6,3,16.0,2,2,10,260000,1
2009,1,113,6,7,5.0,2,3,10,123690,1
2017,10,141,2,6,7.0,1,3,0,50000,1
2004,8,163,2,2,7.0,1,2,9,0,1
2014,10,128,6,3,7.0,2,3,11,170,1
2017,10,238,2,7,5.0,2,3,11,13000,1
2016,2,82,6,6,5.0,1,3,2,72000,1
2017,10,128,6,3,8.0,2,3,10,120000,1
2008,4,79,6,2,2.0,2,2,1,45000,1
2015,6,2,6,7,5.0,1,3,1,76000,1
2015,4,195,6,6,7.0,1,3,11,90000,1
2008,4,83,0,7,5.0,2,3,11,165000,1
2002,10,251,6,6,8.0,2,3,4,189,1
2011,7,211,6,2,10.0,2,2,5,114000,1
2019,4,13,6,7,5.0,2,3,11,87345,1
2018,10,68,2,7,5.0,1,3,0,69000,1
2018,0,64,4,5,5.0,2,2,5,85000,1
2016,10,47,6,7,5.0,1,3,7,81000,1
2015,2,187,4,5,5.0,2,2,10,92000,1
2019,5,56,6,7,5.0,1,3,9,51000,1
2017,2,187,4,5,5.0,1,2,3,81000,1
2021,5,205,6,6,6.0,1,2,0,39000,1
2022,10,233,3,3,7.0,1,3,11,29000,1
2014,6,40,6,6,5.0,1,3,10,66000,1
2019,8,247,3,3,5.0,1,3,0,79000,1
2022,6,2,6,7,5.0,1,3,11,22222,1
2020,5,202,0,7,5.0,2,3,0,60000,1
2020,11,94,6,1,5.0,1,3,1,20000,1
2009,10,249,2,1,5.0,1,3,1,78000,1
2003,7,80,6,7,5.0,1,3,1,178000,1
2019,10,249,4,1,5.0,1,3,9,27000,1
2020,8,247,3,3,7.0,1,3,2,45000,1
2016,10,128,6,3,8.0,2,3,7,83639,1
2002,2,144,1,7,5.0,2,3,4,120000,1
2021,9,246,9,6,7.0,1,3,11,29000,1
2014,2,221,6,3,6.0,2,2,10,180000,1
2016,6,7,6,7,5.0,1,3,9,20000,1
2014,10,128,6,6,7.0,2,3,10,123456,1
2018,10,47,6,7,5.0,1,3,11,90000,1
2018,2,187,4,5,5.0,1,2,0,63000,1
2022,5,133,6,7,5.0,1,3,9,16000,1
2022,5,51,6,3,7.0,1,3,11,12000,1
2016,4,83,6,7,5.0,2,3,11,86868,1
2020,10,238,6,7,5.0,1,3,3,6,1
2008,4,115,0,1,5.0,2,3,5,56000,1
2021,6,2,6,7,5.0,1,3,11,17555,1
2018,10,24,3,3,7.0,1,3,11,60000,1
2021,10,238,6,7,5.0,1,3,11,30000,1
2004,2,86,6,6,5.0,1,3,0,150000,1
2010,5,51,0,3,8.0,2,3,10,121000,1
2017,0,76,6,7,5.0,2,3,10,69000,1
2013,2,95,6,1,5.0,1,3,9,13000,1
2021,10,243,2,1,5.0,1,3,11,45000,1
2020,8,21,4,7,5.0,1,3,11,35000,1
2021,10,99,6,6,7.0,1,2,0,24600,1
2020,5,197,6,6,5.0,1,3,3,37000,1
2010,1,138,0,7,5.0,1,3,0,90000,1
2022,10,69,4,6,5.0,1,3,0,19000,1
2022,3,62,4,7,5.0,1,3,11,10000,1
2014,9,214,6,1,5.0,1,3,9,80000,1
2023,3,61,6,7,5.0,1,3,0,0,0
2018,6,29,4,5,5.0,2,2,2,100000,1
2016,2,221,6,3,16.0,2,2,10,132000,1
2021,5,56,6,7,5.0,1,3,1,39000,1
2011,4,203,0,7,5.0,1,3,11,100000,1
2015,10,68,6,7,5.0,1,3,10,860000,1
2021,5,164,6,1,4.0,1,3,5,30000,1
2015,7,192,6,7,5.0,1,3,11,82000,1
2021,4,118,2,6,7.0,1,3,2,0,0
2021,2,187,6,5,5.0,1,2,0,40,1
2008,1,138,6,7,5.0,2,3,10,112000,1
2021,6,2,6,7,5.0,1,3,11,42000,1
2008,10,249,2,1,5.0,1,3,11,96000,1
2015,7,80,8,7,5.0,1,3,0,80000,1
1990,3,14,2,7,5.0,1,3,10,172000,1
2016,10,128,6,3,8.0,1,3,7,74000,1
2005,1,158,0,1,5.0,1,3,4,89999,1
2016,10,99,6,6,7.0,1,3,11,90000,1
2010,1,113,6,7,5.0,2,3,10,128060,1
2018,9,79,6,8,2.0,2,3,3,19000,1
2018,4,83,6,7,5.0,1,3,9,75000,1
2021,6,2,6,7,5.0,1,3,11,40998,1
2008,10,128,2,3,8.0,2,3,10,1000,1
2022,4,224,6,6,5.0,1,2,3,11000,1
2022,5,51,6,3,7.0,1,1,1,40000,1
2014,6,40,2,6,5.0,1,3,3,95000,1
1995,3,14,2,7,4.0,1,3,4,1,1
2022,2,89,1,6,7.0,1,2,11,10999,1
2023,2,187,1,5,5.0,1,2,0,0,0
2019,10,238,6,7,5.0,2,3,11,60936,1
2010,4,195,6,6,7.0,1,2,10,142,1
2018,4,118,6,1,5.0,1,3,11,65000,1
2021,10,243,3,1,2.0,1,3,11,95000,1
2019,6,7,2,7,5.0,1,3,11,80000,1
2011,5,98,6,7,5.0,1,3,0,11,1
2022,10,233,4,3,6.0,1,3,11,11000,1
2019,10,128,6,3,8.0,1,3,11,80000,1
2003,10,47,6,7,5.0,2,3,11,205000,1
2012,4,23,0,7,5.0,2,3,5,150000,1
2016,3,61,6,7,5.0,1,3,10,83000,1
2004,1,157,0,7,5.0,1,3,0,790000,1
2022,10,99,6,6,7.0,1,2,11,0,0
2023,2,187,6,5,5.0,1,2,11,1,0
2019,2,221,6,2,16.0,2,2,3,80000,1
2003,4,111,0,0,2.0,2,2,11,50000,1
2013,4,255,0,1,5.0,1,3,11,100000,1
2010,8,122,7,7,5.0,1,3,0,91000,1
2020,4,13,0,7,5.0,1,3,11,53000,1
2023,3,61,2,7,5.0,1,3,9,6000,1
2020,10,238,6,7,5.0,1,3,3,46000,1
2017,8,21,2,7,5.0,2,3,9,135000,1
2021,11,94,6,1,2.0,1,3,9,25000,1
2018,2,82,6,6,5.0,1,3,11,71000,1
2003,1,142,2,7,5.0,2,3,11,150000,1
2007,5,164,0,1,5.0,1,3,0,120000,1
1995,5,181,0,7,5.0,2,3,11,150000,1
2007,10,238,6,7,5.0,1,3,2,140000,1
2020,11,151,6,6,7.0,1,3,0,49000,1
2017,0,64,4,7,5.0,2,2,11,12345,1
2019,2,89,4,6,7.0,1,2,11,33000,1
2016,10,68,6,7,5.0,1,3,11,79000,1
2020,6,40,6,6,5.0,1,3,9,17000,1
2020,5,196,6,3,7.0,1,2,2,40000,1
2003,8,139,6,7,5.0,1,3,0,230000,1
2010,10,235,3,6,5.0,1,3,11,60000,1
2017,5,164,6,1,5.0,1,3,9,61500,1
2022,10,68,4,7,2.0,1,3,11,11000,1
2007,8,172,2,6,5.0,2,3,1,100000,1
2022,3,38,6,6,5.0,1,3,1,35000,1
2000,1,142,6,7,5.0,2,3,11,228999,1
2022,10,68,4,7,5.0,1,1,1,25000,1
2020,5,56,6,7,4.0,1,3,9,26000,1
2002,1,145,0,7,5.0,2,3,0,21211,1
2011,4,232,0,0,5.0,0,3,11,86000,1
2021,11,150,6,7,5.0,1,3,11,15000,1
2022,4,13,6,7,2.0,1,3,11,7000,1
2022,3,61,6,7,5.0,1,3,11,24000,1
2022,8,247,3,3,7.0,2,3,11,4000,1
2014,0,76,1,7,5.0,1,3,9,85,1
2009,4,195,0,2,7.0,1,2,0,84000,1
2019,5,56,6,7,5.0,1,3,9,19000,1
2021,10,243,3,1,2.0,1,3,11,23000,1
2019,8,223,4,5,5.0,1,2,5,123123,1
2022,7,104,6,6,5.0,1,3,1,0,0
2015,2,82,6,6,5.0,1,3,10,70000,1
2017,4,83,6,7,5.0,2,3,11,66000,1
2014,7,35,8,7,5.0,1,3,11,67000,1
2017,5,188,6,7,5.0,1,3,11,69000,1
2022,5,51,0,6,7.0,1,3,11,28000,1
2011,4,203,0,7,5.0,1,3,9,58000,1
2016,10,140,2,6,8.0,1,3,0,58000,1
2020,4,13,0,7,5.0,2,3,11,55000,1
2006,10,128,4,3,8.0,2,3,10,99999,1
2020,10,238,6,7,5.0,2,3,10,36000,1
2020,5,202,6,7,5.0,1,3,9,40000,1
2022,5,51,6,3,7.0,1,3,11,0,0
2019,5,164,6,1,5.0,2,3,11,29000,1
2021,6,7,6,7,5.0,1,3,9,20000,1
2015,10,99,6,6,7.0,2,2,10,85000,1
2017,2,187,6,5,5.0,2,2,1,60000,1
2021,9,246,9,3,7.0,1,3,6,40000,1
2005,5,164,0,1,5.0,2,3,10,160000,1
2009,4,195,6,6,7.0,1,3,10,120000,1
2023,10,69,4,6,5.0,1,3,11,50,1
2020,11,94,6,1,5.0,1,3,11,19000,1
2020,4,195,6,6,7.0,1,3,9,39000,1
2017,6,40,3,6,5.0,1,3,11,60000,1
2018,3,61,2,7,5.0,1,3,11,61000,1
2005,10,251,2,7,8.0,2,3,1,300000,1
2019,10,99,3,6,7.0,1,3,11,33700,1
2021,11,150,6,7,5.0,1,3,0,29000,1
2023,11,228,6,1,5.0,1,0,6,0,0
2023,6,40,6,6,5.0,1,3,7,0,0
2012,2,96,1,1,5.0,1,3,5,103000,1
2010,4,255,0,7,5.0,1,3,10,42555,1
2015,4,118,9,1,5.0,1,3,9,70000,1
2020,5,205,6,6,5.0,1,2,11,32000,1
2012,4,13,0,7,5.0,1,3,5,48000,1
2019,6,40,6,6,5.0,1,3,7,40000,1
2021,2,187,4,5,5.0,2,2,4,20000,1
2022,10,99,6,6,9.0,1,2,2,28000,1
2021,9,246,3,3,7.0,1,3,0,45000,1
2022,3,61,6,7,5.0,1,3,7,12500,1
2015,2,221,6,8,16.0,2,2,1,100000,1
2011,5,164,6,1,5.0,2,3,10,222222,1
2022,8,247,9,3,7.0,1,3,0,37000,1
1993,10,70,2,7,5.0,2,3,5,100000,1
2018,4,118,6,7,5.0,2,3,11,86000,1
2022,7,105,6,6,5.0,1,3,11,29,1
2023,7,32,6,7,5.0,1,3,0,0,0
2023,11,79,6,6,5.0,1,0,6,0,0
2016,7,106,1,6,5.0,1,3,11,28100,1
2011,4,13,0,7,5.0,2,3,11,181216,1
2020,10,47,4,7,5.0,1,3,0,47000,1
2010,10,125,2,8,6.0,2,3,10,270000,1
2022,10,24,3,3,7.0,1,3,10,8000,1
2014,10,238,2,7,5.0,1,3,10,11000,1
2006,10,128,6,3,8.0,2,3,3,95658,1
2018,0,208,6,7,5.0,2,3,9,0,1
2015,0,25,6,7,5.0,2,3,10,90000,1
2007,7,32,1,7,5.0,1,3,10,100000,1
2023,3,28,3,7,7.0,1,3,11,0,0
2022,10,68,4,7,5.0,1,3,0,12900,1
2020,10,128,6,3,8.0,2,3,7,47000,1
2012,10,99,6,6,7.0,1,3,10,60000,1
2021,4,118,6,7,5.0,2,3,11,4800,1
2016,2,221,6,8,6.0,2,2,10,118,1
2018,10,238,6,7,5.0,1,3,11,44000,1
2015,0,208,6,1,5.0,1,3,9,78000,1
2020,8,248,3,6,7.0,1,3,11,14000,1
2022,10,233,3,3,9.0,1,3,11,22000,1
1999,7,32,8,7,5.0,2,3,0,25000,1
2020,2,187,6,5,5.0,2,2,7,30000,1
2005,4,195,0,6,7.0,1,2,10,250000,1
2016,7,80,6,7,5.0,1,3,11,36000,1
2022,5,210,0,6,5.0,1,2,4,7000,1
2009,5,207,0,6,5.0,1,3,3,88000,1
2021,8,223,4,5,5.0,1,3,10,40000,1
2016,10,128,6,3,8.0,2,3,3,79563,1
2022,10,68,4,7,2.0,1,3,0,13000,1
2021,6,2,6,7,5.0,1,3,11,17500,1
2020,4,13,6,7,5.0,1,3,11,37000,1
2017,2,187,4,5,5.0,1,2,0,89000,1
2011,4,232,0,0,5.0,1,3,6,65000,1
2018,10,128,6,3,8.0,1,3,10,82738,1
2018,10,238,6,7,5.0,1,3,10,50000,1
2019,10,128,6,3,7.0,2,3,10,87000,1
2009,2,89,6,6,7.0,2,2,0,180000,1
2010,10,238,2,7,5.0,1,3,5,12000,1
2019,4,224,6,6,5.0,1,3,2,29000,1
2022,7,80,2,7,5.0,1,3,0,40000,1
2000,1,142,6,7,5.0,2,3,11,12345,1
2019,11,94,6,1,5.0,1,3,9,525,1
2022,3,38,6,6,7.0,1,3,0,0,0
2020,7,104,6,6,5.0,1,3,0,340000,1
2015,10,99,4,6,7.0,2,2,10,87083,1
2018,10,99,3,6,7.0,2,2,5,100000,1
2014,5,164,6,1,5.0,2,3,11,110688,1
2009,10,99,6,6,7.0,2,2,10,199999,1
2022,2,187,6,5,5.0,1,2,11,12000,1
2010,10,68,2,7,5.0,1,3,10,10000,1
2020,10,190,3,6,5.0,1,3,11,67000,1
2010,5,98,0,7,5.0,1,3,10,132000,1
2016,2,221,6,3,16.0,2,2,10,258000,1
2007,10,199,1,3,7.0,1,3,3,86000,1
2023,2,217,6,7,5.0,1,3,11,0,0
2022,3,61,6,7,5.0,1,3,11,46000,1
2018,10,128,6,3,8.0,2,3,10,62000,1
2009,4,115,0,2,5.0,2,3,1,170000,1
2022,4,74,3,6,5.0,1,3,9,0,0
2022,10,128,6,3,8.0,2,3,2,2000,1
2023,11,230,6,6,7.0,1,0,0,2000,1
2005,5,164,0,7,5.0,1,3,10,11000,1
2020,5,56,6,7,5.0,1,3,9,8,1
2022,10,128,6,3,10.0,2,3,11,19000,1
2019,2,187,4,5,5.0,1,2,0,42000,1
2023,4,79,6,6,7.0,1,2,0,0,0
2017,10,128,6,6,7.0,1,2,9,72000,1
2016,6,4,2,5,4.0,1,3,11,100000,1
2023,3,28,3,6,7.0,1,3,11,0,0
2019,4,118,0,7,5.0,1,3,11,24386,1
2004,8,132,2,6,7.0,2,3,2,136000,1
2009,7,211,8,8,6.0,2,2,10,335,1
2018,8,21,4,7,5.0,1,3,11,100000,1
