manufacture_date,brand,model,origin,type,seats,gearbox,fuel,color,mileage_v2,condition
2022,Kia,Sportage,Hàn Quốc,SUV / Cross over,5.0,AT,petrol,white,7000,used
2020,Ford,Everest,Thái Lan,SUV / Cross over,7.0,AT,oil,blue,56000,used
2014,Kia,Morning,Hàn Quốc,Hatchback,2.0,AT,petrol,red,72000,used
2010,Honda,CR V,Đài Loan,SUV / Cross over,5.0,AT,petrol,black,120000,used
1995,Mazda,626,Nhật Bản,Sedan,5.0,MT,petrol,silver,99999,used
2015,Kia,Morning,Hàn Quốc,Hatchback,5.0,MT,petrol,white,170,used
2005,Mitsubishi,Jolie,Nhật Bản,SUV / Cross over,8.0,MT,petrol,black,3254,used
2011,Hyundai,i20,Hàn Quốc,Hatchback,5.0,AT,petrol,red,123456,used
2019,Hyundai,Accent,Hàn Quốc,Sedan,5.0,AT,petrol,black,23000,used
2022,Ford,Ranger,Việt Nam,Pick-up (bán tải),5.0,AT,petrol,black,33000,used
2020,Toyota,Vios,Việt Nam,Sedan,5.0,AT,petrol,brown,38000,used
2016,Toyota,Innova,Việt Nam,Minivan (MPV),8.0,MT,petrol,silver,120000,used
2020,Toyota,Rush,Nước khác,SUV / Cross over,5.0,AT,petrol,silver,55000,used
2018,Kia,Cerato,Việt Nam,Sedan,5.0,MT,petrol,white,69000,used
2010,Chevrolet,Cruze,Mỹ,Sedan,5.0,MT,petrol,black,70000,used
2020,Vinfast,Lux SA2.0,Việt Nam,SUV / Cross over,7.0,AT,petrol,blue,102000,used
2016,Kia,Rio,Hàn Quốc,Sedan,5.0,AT,petrol,white,60000,used
2021,Hyundai,Accent,Việt Nam,Sedan,5.0,MT,petrol,red,35000,used
2019,Mitsubishi,Xpander,Việt Nam,Minivan (MPV),5.0,MT,petrol,white,50000,used
2015,Kia,Rondo,Việt Nam,SUV / Cross over,7.0,AT,petrol,black,76,used
2016,Toyota,Fortuner,Việt Nam,SUV / Cross over,8.0,AT,petrol,silver,79800,used
2020,Mercedes Benz,E Class,Việt Nam,Sedan,5.0,AT,petrol,black,17000,used
2018,Toyota,Vios,Việt Nam,Sedan,5.0,MT,petrol,white,141000,used
2022,Toyota,Rush,Nhật Bản,SUV / Cross over,8.0,AT,petrol,white,37000,used
2007,Toyota,Fortuner,Nhật Bản,SUV / Cross over,8.0,AT,petrol,black,110000,used
2009,Chevrolet,Spark,Mỹ,Hatchback,2.0,MT,petrol,silver,100000,used
2011,Hyundai,Avante,Việt Nam,Sedan,5.0,AT,petrol,brown,105000,used
2012,Kia,Carens,Hàn Quốc,SUV / Cross over,7.0,AT,petrol,gold,79000,used
2016,Kia,Rio,Hàn Quốc,Sedan,5.0,MT,petrol,silver,100200,used
2019,Mitsubishi,Outlander,Nhật Bản,SUV / Cross over,5.0,AT,petrol,brown,29000,used
2012,Hyundai,Avante,Việt Nam,Sedan,5.0,AT,petrol,white,67000,used
2020,Mitsubishi,Xpander Cross,Nước khác,SUV / Cross over,7.0,AT,petrol,orange,11000,used
2020,Ford,Ranger,Thái Lan,Pick-up (bán tải),5.0,AT,oil,white,91200,used
2018,Toyota,Innova,Nhật Bản,Minivan (MPV),8.0,MT,petrol,gold,105000,used
2022,Kia,Seltos,Việt Nam,SUV / Cross over,5.0,AT,petrol,red,27500,used
2017,Toyota,Vios,Việt Nam,Sedan,5.0,AT,petrol,gold,7000,used
2020,Toyota,Camry,Thái Lan,Sedan,5.0,AT,petrol,black,4100,used
1999,Mercedes Benz,C Class,Đức,Sedan,5.0,MT,petrol,black,25000,used
2015,Mazda,3,Việt Nam,Sedan,5.0,AT,petrol,blue,85000,used
2011,Chevrolet,Captiva,Việt Nam,SUV / Cross over,7.0,AT,petrol,gold,82000,used
2008,Toyota,Innova,Việt Nam,Minivan (MPV),8.0,MT,petrol,black,12798,used
