manufacture_date,brand,model,origin,type,seats,gearbox,fuel,color,mileage_v2,price,condition
2021,3,71,2,7,5.0,1,3,12,23000,455000000.0,1
2020,10,251,6,7,5.0,2,3,12,99999,368000000.0,1
2022,4,94,6,7,5.0,1,3,12,45000,455000000.0,1
2018,10,136,6,6,8.0,2,3,12,60000,485000000.0,1
2020,8,268,3,3,7.0,2,3,12,50000,465000000.0,1
2015,10,57,6,7,5.0,1,3,1,70000,580000000.0,1
2016,4,126,0,7,5.0,2,3,0,80000,225000000.0,1
2023,10,33,6,3,7.0,2,3,12,0,558000000.0,0
2004,7,41,8,7,5.0,1,3,6,170000,125000000.0,1
2023,8,178,2,6,7.0,1,3,0,0,825000000.0,0
2007,3,72,2,7,4.0,2,3,1,20000,199000000.0,1
2023,8,30,2,7,5.0,2,3,8,0,380000000.0,0
2023,4,21,6,7,5.0,1,3,12,0,415000000.0,0
2008,8,180,6,6,5.0,2,3,5,190000,268000000.0,1
2019,4,21,6,7,5.0,1,3,12,45000,390000000.0,1
2023,4,85,6,6,5.0,1,3,12,0,615000000.0,0
2014,4,126,9,1,5.0,1,3,11,93333,268000000.0,1
2009,2,97,6,6,5.0,1,3,6,135000,300000000.0,1
2023,2,196,6,5,5.0,1,2,1,0,707000000.0,0
2016,3,71,6,7,5.0,1,3,11,71000,350000000.0,1
2020,5,172,6,1,5.0,1,3,4,30000,330000000.0,1
2022,11,104,6,1,5.0,1,3,2,12999,338000000.0,1
2023,8,268,3,6,7.0,1,3,12,0,598000000.0,0
2014,1,34,6,7,5.0,2,3,11,14000,142000000.0,1
2015,4,126,9,7,5.0,2,3,12,115000,235000000.0,1
2023,6,5,2,8,5.0,1,3,12,0,619000000.0,0
2009,10,79,6,7,5.0,1,3,0,130000,300000000.0,1
2020,4,126,6,7,5.0,2,3,12,70000,265000000.0,1
2014,4,126,9,1,5.0,1,3,0,88888,274800000.0,1
2022,5,212,6,7,5.0,1,3,12,10000,386000000.0,1
2012,1,218,6,1,5.0,2,3,5,140000,125000000.0,1
2010,2,106,6,1,5.0,1,3,12,120000,220000000.0,1
2021,3,71,6,7,5.0,1,3,10,38000,485000000.0,1
2023,4,126,6,8,5.0,2,3,0,0,89000000.0,0
2020,5,172,6,1,5.0,1,3,10,25500,300000000.0,1
2023,4,90,0,6,7.0,1,2,1,0,1455555555.0,0
2003,8,140,2,6,8.0,1,3,11,100000,100000000.0,1
2015,3,47,2,6,5.0,1,3,6,95000,585000000.0,1
2020,5,67,6,7,5.0,1,3,12,59999,487000000.0,1
2019,10,257,3,1,5.0,1,3,0,27000,315000000.0,1
2020,5,172,6,1,5.0,2,3,12,525,252000000.0,1
2009,4,123,0,1,5.0,2,3,2,120000,160000000.0,1
2023,4,94,0,7,5.0,1,3,12,0,575000110.0,0
2019,6,5,2,7,5.0,0,3,10,70000,520000000.0,1
2023,8,30,4,7,5.0,2,3,12,0,380000000.0,0
2014,10,109,6,6,7.0,2,2,11,90000,515000000.0,1
2023,4,94,6,8,5.0,1,3,0,0,599000000.0,0
2023,8,268,2,6,7.0,1,3,0,0,560000000.0,0
2008,7,91,6,7,5.0,1,3,7,10000,225000000.0,1
2023,8,30,4,7,5.0,1,3,12,0,342000000.0,0
2010,10,57,7,7,5.0,1,3,1,90000,400000000.0,1
2017,4,126,9,1,5.0,1,3,12,40000,285000000.0,1
