manufacture_date,brand,model,origin,type,seats,gearbox,fuel,color,mileage_v2,price,condition
1980,Jeep,A2,Mỹ,SUV / Cross over,4.0,MT,petrol,green,40000,380000000.0,used
2021,Honda,City,Nhật Bản,Sedan,5.0,AT,petrol,white,23000,455000000.0,used
2020,Toyota,Vios,Việt Nam,Sedan,5.0,MT,petrol,white,99999,368000000.0,used
2022,Hyundai,Elantra,Việt Nam,Sedan,5.0,AT,petrol,white,45000,455000000.0,used
2018,Toyota,Innova,Việt Nam,SUV / Cross over,8.0,MT,petrol,white,60000,485000000.0,used
2020,Mitsubishi,Xpander,Nước khác,Minivan (MPV),7.0,MT,petrol,white,50000,465000000.0,used
2015,Toyota,Camry,Việt Nam,Sedan,5.0,AT,petrol,black,70000,580000000.0,used
2016,Hyundai,Grand i10,Hàn Quốc,Sedan,5.0,MT,petrol,,80000,225000000.0,used
2023,Toyota,Avanza,Việt Nam,Minivan (MPV),7.0,MT,petrol,white,0,545333333.3333334,new
2004,Mercedes Benz,C Class,Đức,Sedan,5.0,AT,petrol,grey,170000,117500000.0,used
2023,Mitsubishi,Outlander,Nhật Bản,SUV / Cross over,7.0,AT,petrol,,0,825000000.0,new
2007,Honda,Civic,Nhật Bản,Sedan,4.0,MT,petrol,black,20000,199000000.0,used
2023,Mitsubishi,Attrage,Nhật Bản,Sedan,5.0,MT,petrol,others,0,380000000.0,new
2023,Hyundai,Accent,Việt Nam,Sedan,5.0,AT,petrol,white,0,373591666.6666667,new
2008,Mitsubishi,Pajero,Việt Nam,SUV / Cross over,5.0,MT,petrol,green,190000,253500000.0,used
2019,Hyundai,Accent,Việt Nam,Sedan,5.0,AT,petrol,white,45000,407500000.0,used
2023,Hyundai,Creta,Việt Nam,SUV / Cross over,5.0,AT,petrol,white,0,501285714.28571427,new
2014,Hyundai,Grand i10,Ấn Độ,Hatchback,5.0,AT,petrol,silver,93333,266500000.0,used
2009,Ford,Escape,Việt Nam,SUV / Cross over,5.0,AT,petrol,grey,135000,300000000.0,used
2023,Ford,Ranger,Việt Nam,Pick-up (bán tải),5.0,AT,oil,black,0,686555555.5555556,new
2016,Honda,City,Việt Nam,Sedan,5.0,AT,petrol,silver,71000,350000000.0,used
2020,Kia,Morning,Việt Nam,Hatchback,5.0,AT,petrol,gold,30000,310000000.0,used
2022,Vinfast,Fadil,Việt Nam,Hatchback,5.0,AT,petrol,blue,12999,336500000.0,used
2023,Mitsubishi,Xpander,Nước khác,SUV / Cross over,7.0,AT,petrol,white,0,527571428.5714286,new
2014,Chevrolet,Aveo,Việt Nam,Sedan,5.0,MT,petrol,silver,14000,142000000.0,used
2015,Hyundai,Grand i10,Ấn Độ,Sedan,5.0,MT,petrol,white,115000,235000000.0,used
2023,Mazda,3,Nhật Bản,,5.0,AT,petrol,white,0,619000000.0,new
2009,Toyota,Corolla Altis,Việt Nam,Sedan,5.0,AT,petrol,,130000,300000000.0,used
2020,Hyundai,Grand i10,Việt Nam,Sedan,5.0,MT,petrol,white,70000,265000000.0,used
2014,Hyundai,Grand i10,Ấn Độ,Hatchback,5.0,AT,petrol,,88888,274800000.0,used
2022,Kia,Soluto,Việt Nam,Sedan,5.0,AT,petrol,white,10000,386000000.0,used
2012,Chevrolet,Spark,Việt Nam,Hatchback,5.0,MT,petrol,green,140000,125000000.0,used
2010,Ford,Focus,Việt Nam,Hatchback,5.0,AT,petrol,white,120000,220000000.0,used
2021,Honda,City,Việt Nam,Sedan,5.0,AT,petrol,red,38000,485000000.0,used
2007,Daewoo,Lacetti,Hàn Quốc,Sedan,5.0,MT,petrol,black,120000,120000000.0,used
2023,Hyundai,Grand i10,Việt Nam,,5.0,MT,petrol,,0,259666666.66666666,new
2020,Kia,Morning,Việt Nam,Hatchback,5.0,AT,petrol,red,25500,300000000.0,used
1995,Daewoo,Cielo,Hàn Quốc,Sedan,5.0,MT,petrol,white,43,28000000.0,used
2023,Hyundai,Dòng khác,Hàn Quốc,SUV / Cross over,7.0,AT,oil,black,0,1462277777.5,new
