manufacture_date,brand,model,origin,type,seats,gearbox,fuel,color,mileage_v2,price,condition
2021,Honda,City,Nhật Bản,Sedan,5.0,AT,petrol,white,23000,455000000.0,used
2020,Toyota,Vios,Việt Nam,Sedan,5.0,MT,petrol,white,99999,368000000.0,used
2022,Hyundai,Elantra,Việt Nam,Sedan,5.0,AT,petrol,white,45000,455000000.0,used
2020,Mitsubishi,Xpander,Nước khác,Minivan (MPV),7.0,MT,petrol,white,50000,465000000.0,used
2015,Toyota,Camry,Việt Nam,Sedan,5.0,AT,petrol,black,70000,580000000.0,used
2023,Toyota,Avanza,Việt Nam,Minivan (MPV),7.0,MT,petrol,white,0,545333333.3333334,new
2004,Mercedes Benz,C Class,Đức,Sedan,5.0,AT,petrol,grey,170000,117500000.0,used
2007,Honda,Civic,Nhật Bản,Sedan,4.0,MT,petrol,black,20000,199000000.0,used
2023,Mitsubishi,Attrage,Nhật Bản,Sedan,5.0,MT,petrol,others,0,380000000.0,new
2023,Hyundai,Accent,Việt Nam,Sedan,5.0,AT,petrol,white,0,350766666.6666667,new
2019,Hyundai,Accent,Việt Nam,Sedan,5.0,AT,petrol,white,45000,407500000.0,used
2023,Hyundai,Creta,Việt Nam,SUV / Cross over,5.0,AT,petrol,white,0,501285714.28571427,new
2014,Hyundai,Grand i10,Ấn Độ,Hatchback,5.0,AT,petrol,silver,93333,266500000.0,used
2023,Ford,Ranger,Việt Nam,Pick-up (bán tải),5.0,AT,oil,black,0,596666666.6666666,new
2016,Honda,City,Việt Nam,Sedan,5.0,AT,petrol,silver,71000,350000000.0,used
2022,Vinfast,Fadil,Việt Nam,Hatchback,5.0,AT,petrol,blue,12999,336500000.0,used
2023,Mitsubishi,Xpander,Nước khác,SUV / Cross over,7.0,AT,petrol,white,0,527571428.5714286,new
2014,Chevrolet,Aveo,Việt Nam,Sedan,5.0,MT,petrol,silver,14000,142000000.0,used
2015,Hyundai,Grand i10,Ấn Độ,Sedan,5.0,MT,petrol,white,115000,235000000.0,used
2020,Hyundai,Grand i10,Việt Nam,Sedan,5.0,MT,petrol,white,70000,265000000.0,used
2022,Kia,Soluto,Việt Nam,Sedan,5.0,AT,petrol,white,10000,386000000.0,used
2012,Chevrolet,Spark,Việt Nam,Hatchback,5.0,MT,petrol,green,140000,125000000.0,used
2010,Ford,Focus,Việt Nam,Hatchback,5.0,AT,petrol,white,120000,220000000.0,used
2021,Honda,City,Việt Nam,Sedan,5.0,AT,petrol,red,38000,485000000.0,used
2007,Daewoo,Lacetti,Hàn Quốc,Sedan,5.0,MT,petrol,black,120000,120000000.0,used
1995,Daewoo,Cielo,Hàn Quốc,Sedan,5.0,MT,petrol,white,43,28000000.0,used
2023,Hyundai,Dòng khác,Hàn Quốc,SUV / Cross over,7.0,AT,oil,black,0,1455555555.0,new
2003,Mitsubishi,Jolie,Nhật Bản,SUV / Cross over,8.0,AT,petrol,silver,100000,92500000.0,used
2015,Honda,CR V,Nhật Bản,SUV / Cross over,5.0,AT,petrol,grey,95000,585000000.0,used
2020,Kia,Cerato,Việt Nam,Sedan,5.0,AT,petrol,white,59999,487000000.0,used
2020,Kia,Morning,Việt Nam,Hatchback,5.0,MT,petrol,white,525,252000000.0,used
2009,Hyundai,Getz,Hàn Quốc,Hatchback,5.0,MT,petrol,blue,120000,160000000.0,used
2023,Hyundai,Elantra,Hàn Quốc,Sedan,5.0,AT,petrol,white,0,427000036.6666667,new
2019,Mazda,3,Nhật Bản,Sedan,5.0,AMT,petrol,red,70000,520000000.0,used
2023,Mitsubishi,Attrage,Thái Lan,Sedan,5.0,MT,petrol,white,0,349444444.4444444,new
2014,Toyota,Fortuner,Việt Nam,SUV / Cross over,7.0,MT,oil,silver,90000,550888888.75,used
2008,Mercedes Benz,E Class,Việt Nam,Sedan,5.0,AT,petrol,orange,10000,225000000.0,used
2023,Mitsubishi,Attrage,Thái Lan,Sedan,5.0,AT,petrol,white,0,226250000.0,new
2010,Toyota,Camry,Đài Loan,Sedan,5.0,AT,petrol,black,90000,400000000.0,used
2017,Hyundai,Grand i10,Ấn Độ,Hatchback,5.0,AT,petrol,white,40000,285000000.0,used
2019,Hyundai,Accent,Việt Nam,Sedan,5.0,MT,petrol,white,20000,300000000.0,used
2023,Hyundai,County,Việt Nam,Minivan (MPV),7.0,AT,petrol,black,0,848000000.0,new
2014,Toyota,Fortuner,Việt Nam,SUV / Cross over,7.0,AT,petrol,silver,150000,455000000.0,used
2023,Hyundai,Elantra,Việt Nam,Sedan,5.0,AT,petrol,white,0,362000000.0,new
2023,Mitsubishi,Xpander Cross,Nước khác,Minivan (MPV),7.0,AT,petrol,orange,0,698000000.0,new
2023,Hyundai,Accent,Hàn Quốc,Sedan,5.0,AT,petrol,white,0,172450000.0,new
2022,Toyota,Veloz,Nước khác,Minivan (MPV),7.0,AT,petrol,white,10000,555555555.0,used
2006,Mercedes Benz,E Class,Việt Nam,Sedan,5.0,AT,petrol,black,160000,220000000.0,used
2023,Hyundai,Creta,Hàn Quốc,SUV / Cross over,5.0,AT,petrol,white,0,623004444.0,new
2017,Chevrolet,Colorado,Mỹ,Pick-up (bán tải),5.0,MT,oil,white,103000,400000000.0,used
2023,Ford,Ranger,Việt Nam,Pick-up (bán tải),5.0,AT,oil,white,0,571384615.3846154,new
2020,Ford,Ranger,Thái Lan,Pick-up (bán tải),5.0,MT,oil,blue,96500,490000000.0,used
2004,Ford,Ranger,Việt Nam,Pick-up (bán tải),5.0,MT,oil,black,90000,95000000.0,used
2007,Toyota,Innova,Việt Nam,Minivan (MPV),8.0,MT,petrol,black,290000,190000000.0,used
2016,Mazda,2,Việt Nam,Hatchback,5.0,AT,petrol,white,47000,335000000.0,used
2014,Hyundai,Grand i10,Ấn Độ,Hatchback,5.0,AT,petrol,red,69999,268000000.0,used
2020,Kia,Soluto,Việt Nam,Sedan,5.0,AT,petrol,white,33000,355000000.0,used
2004,Toyota,Zace,Việt Nam,SUV / Cross over,8.0,MT,petrol,green,90000,175000000.0,used
2016,Mazda,3,Việt Nam,Sedan,5.0,AT,petrol,grey,48999,382000000.0,used
2016,Toyota,Innova,Việt Nam,Minivan (MPV),8.0,MT,petrol,silver,60000,435000000.0,used
2004,Toyota,Zace,Nhật Bản,SUV / Cross over,8.0,MT,petrol,blue,56789,130000000.0,used
2010,Hyundai,Genesis,Hàn Quốc,Coupe (2 cửa),5.0,AT,petrol,red,90000,425000000.0,used
2015,Mazda,2,Nhật Bản,Hatchback,5.0,AT,petrol,white,48000,305000000.0,used
2018,Hyundai,Elantra,Việt Nam,Sedan,5.0,AT,petrol,white,86000,432000000.0,used
2022,Hyundai,Accent,Việt Nam,Sedan,5.0,AT,petrol,black,7000,483500000.0,used
2023,Toyota,Avanza,Việt Nam,Minivan (MPV),7.0,AT,petrol,white,0,562200000.0,new
2023,Toyota,Veloz Cross,Việt Nam,Minivan (MPV),7.0,AT,petrol,white,0,662000000.0,new
2012,Kia,Forte,Việt Nam,Sedan,5.0,MT,petrol,white,110000,238000000.0,used
2020,Kia,Cerato,Việt Nam,Sedan,5.0,AT,petrol,grey,99999,475000000.0,used
2023,Toyota,Corolla Cross,Thái Lan,SUV / Cross over,5.0,AT,petrol,white,0,771133333.3333334,new
2023,Toyota,Yaris,Nước khác,SUV / Cross over,5.0,AT,petrol,white,0,592197142.8571428,new
2020,Toyota,Vios,Việt Nam,Sedan,5.0,MT,petrol,white,70000,360000000.0,used
2023,Toyota,Vios,Việt Nam,Sedan,5.0,AT,petrol,white,0,464714285.71428573,new
2023,Toyota,Raize,Thái Lan,SUV / Cross over,5.0,AT,petrol,red,0,417333333.3333333,new
2016,Hyundai,Elantra,Hàn Quốc,Sedan,5.0,AT,petrol,white,95000,380000000.0,used
2023,Toyota,Wigo,Nước khác,Hatchback,5.0,AT,petrol,white,0,390000000.0,new
2007,Toyota,Innova,Việt Nam,Minivan (MPV),8.0,MT,petrol,silver,90000,215000000.0,used
2021,Mazda,3,Nhật Bản,Kiểu dáng khác,5.0,AT,petrol,white,32000,600000000.0,used
2008,Hyundai,Grand i10,Ấn Độ,Hatchback,5.0,AT,petrol,green,90000,170000000.0,used
2008,Toyota,Innova,Việt Nam,SUV / Cross over,8.0,MT,petrol,silver,80000,235000000.0,used
2013,Toyota,Fortuner,Việt Nam,SUV / Cross over,7.0,AT,petrol,black,130000,410000000.0,used
2021,Hyundai,Grand i10,Việt Nam,Sedan,5.0,MT,petrol,white,40000,305000000.0,used
2022,Mazda,3,Việt Nam,Sedan,5.0,AT,petrol,white,22222,545000000.0,used
2019,Ford,Everest,Thái Lan,SUV / Cross over,7.0,MT,oil,white,200000,700000000.0,used
2017,Mazda,3,Việt Nam,Kiểu dáng khác,5.0,AT,petrol,white,94000,420000000.0,used
2014,Hyundai,Grand i10,Ấn Độ,Hatchback,5.0,AT,petrol,red,68686,265268286.0,used
2012,Honda,CR V,Việt Nam,SUV / Cross over,5.0,AT,petrol,silver,168688,379000000.0,used
2009,Mercedes Benz,Sprinter,Đức,Kiểu dáng khác,16.0,MT,oil,black,23000,130000000.0,used
2023,Toyota,Veloz Cross,Việt Nam,Minivan (MPV),7.0,AT,petrol,white,50,180000000.0,used
2014,Toyota,Vios,Nhật Bản,Sedan,5.0,MT,petrol,grey,600000,253000000.0,used
2023,Toyota,Vios,Việt Nam,Sedan,5.0,AT,petrol,white,50,200000000.0,used
2008,Mitsubishi,Pajero,Việt Nam,SUV / Cross over,5.0,MT,petrol,green,190000,239000000.0,used
2023,Toyota,Avanza,Việt Nam,Minivan (MPV),7.0,AT,petrol,white,50,160000000.0,used
2020,Hyundai,Tucson,Việt Nam,SUV / Cross over,5.0,AT,petrol,white,35000,630000000.0,used
2023,Toyota,Corolla Cross,Thái Lan,SUV / Cross over,5.0,AT,petrol,white,50,250000000.0,used
2023,Hyundai,Santa Fe,Hàn Quốc,SUV / Cross over,7.0,AT,oil,white,0,968000000.0,new
2000,Daewoo,Lanos,Hàn Quốc,Sedan,5.0,MT,petrol,silver,99999,31172838.5,used
2015,Toyota,Corolla Altis,Việt Nam,Sedan,5.0,AT,petrol,silver,55000,440000000.0,used
2023,Hyundai,Tucson,Hàn Quốc,SUV / Cross over,5.0,AT,petrol,white,0,687972222.0,new
2023,Toyota,Wigo,Nước khác,Hatchback,5.0,AT,petrol,white,50,150000000.0,used
2023,Toyota,Yaris,Nước khác,SUV / Cross over,5.0,AT,petrol,white,50,240000000.0,used
2009,Kia,Morning,Hàn Quốc,Hatchback,5.0,AT,petrol,white,60000,135000000.0,used
2022,Hyundai,Elantra,Việt Nam,Sedan,5.0,MT,petrol,white,25000,445000000.0,used
2019,Ford,Everest,Thái Lan,SUV / Cross over,7.0,MT,oil,white,100000,680000000.0,used
2022,Toyota,Corolla Cross,Thái Lan,SUV / Cross over,5.0,AT,petrol,white,11600,715000000.0,used
2021,Toyota,Corolla Cross,Nhật Bản,SUV / Cross over,5.0,AT,petrol,black,40000,815000000.0,used
2009,Ford,Ranger,Việt Nam,Pick-up (bán tải),5.0,MT,oil,silver,16000,195000000.0,used
2015,Mazda,2,Nhật Bản,Hatchback,5.0,AT,petrol,white,49,300000000.0,used
2023,Mitsubishi,Xpander,Việt Nam,Minivan (MPV),7.0,MT,petrol,white,0,540000000.0,new
2021,Mazda,2,Thái Lan,Sedan,5.0,AT,petrol,white,36000,435000000.0,used
2014,Hyundai,Grand i10,Ấn Độ,Hatchback,5.0,AT,petrol,silver,92000,258888888.0,used
2019,Suzuki,Swift,Thái Lan,Hatchback,5.0,AT,petrol,white,42000,420000000.0,used
2016,Hyundai,Grand i10,Ấn Độ,Hatchback,5.0,MT,petrol,white,50000,225000000.0,used
2009,Mercedes Benz,Sprinter,Đức,Van,16.0,MT,oil,black,23000,128000000.0,used
2011,Hyundai,Grand Starex,Hàn Quốc,SUV / Cross over,9.0,MT,petrol,gold,150000,394000000.0,used
2002,Mitsubishi,Jolie,Nước khác,SUV / Cross over,8.0,MT,petrol,gold,150000,65000000.0,used
2011,Kia,Morning,Hàn Quốc,Hatchback,5.0,AT,petrol,grey,112000,230000000.0,used
2023,Mazda,3,Việt Nam,Sedan,5.0,AT,petrol,white,0,579000000.0,new
1996,Mercedes Benz,E Class,Đức,Sedan,5.0,MT,petrol,red,89000,119000000.0,used
2019,Suzuki,Celerio,Thái Lan,Hatchback,5.0,MT,petrol,white,59,270000000.0,used
2020,Kia,Soluto,Hàn Quốc,Sedan,5.0,MT,petrol,white,100000,320000000.0,used
2016,Ford,Ranger,Thái Lan,Pick-up (bán tải),5.0,AT,oil,white,70000,580000000.0,used
2023,Vinfast,VF5,Việt Nam,SUV / Cross over,5.0,AT,electric,red,0,457995000.0,new
2007,Toyota,Innova,Việt Nam,Minivan (MPV),8.0,MT,petrol,silver,150000,198000000.0,used
2019,Toyota,Innova,Việt Nam,Minivan (MPV),8.0,MT,petrol,grey,110000,510000000.0,used
2020,Hyundai,Grand i10,Việt Nam,Sedan,5.0,MT,petrol,white,16250,280000000.0,used
2016,Toyota,Innova,Nhật Bản,SUV / Cross over,8.0,MT,petrol,gold,70000,392833333.3333333,used
2022,Ford,Everest,Việt Nam,SUV / Cross over,7.0,AT,oil,white,15000,1018000000.0,used
2023,Vinfast,VF5,Việt Nam,SUV / Cross over,5.0,AT,electric,blue,0,438000000.0,new
2019,Mercedes Benz,C Class,Đức,Sedan,5.0,AT,petrol,red,25000,1268000000.0,used
2020,Toyota,Vios,Việt Nam,Sedan,5.0,AT,petrol,gold,19000,475000000.0,used
1994,Hyundai,Sonata,Hàn Quốc,Sedan,5.0,MT,petrol,white,150000,17000000.0,used
2017,Toyota,Fortuner,Việt Nam,SUV / Cross over,7.0,MT,oil,white,1,680000000.0,used
2003,Mitsubishi,Lancer,Việt Nam,Sedan,5.0,AT,petrol,black,230000,139000000.0,used
2021,Mazda,CX 3,Việt Nam,SUV / Cross over,5.0,AT,petrol,red,60000,549000000.0,used
2007,Toyota,Camry,Nhật Bản,Sedan,5.0,AT,petrol,silver,136000,315000000.0,used
2011,Ford,Everest,Nhật Bản,SUV / Cross over,7.0,MT,oil,pink,12345,292000000.0,used
2008,Hyundai,Santa Fe,Hàn Quốc,SUV / Cross over,7.0,AT,petrol,silver,120852,359000000.0,used
2007,Toyota,Innova,Việt Nam,SUV / Cross over,8.0,MT,petrol,silver,230000,134333333.33333334,used
2019,Kia,Rondo,Hàn Quốc,Minivan (MPV),5.0,MT,petrol,white,78000,396500000.0,used
2015,Kia,Morning,Hàn Quốc,Hatchback,5.0,MT,petrol,white,92000,215000000.0,used
2022,Kia,Carnival,Việt Nam,Minivan (MPV),7.0,AT,oil,blue,13000,1368000000.0,used
2018,Mitsubishi,Xpander,Nhật Bản,Sedan,7.0,MT,petrol,grey,22000,447000000.0,used
2020,Ford,Ranger,Thái Lan,Pick-up (bán tải),5.0,AT,oil,grey,58000,690000000.0,used
